ID,Start_Lat,Start_Lng,State,County,City
A-3511422,36.955968,-113.792274,AZ,Mohave,Littlefield
A-3511432,31.473436,-109.972071,AZ,Cochise,Bisbee
A-3511440,32.68779,-114.5741,AZ,Yuma,Yuma
A-3511694,36.150233,-109.591812,AZ,Apache,Chinle
A-3511577,34.462557000000004,-112.0299,AZ,Yavapai,Mayer
A-3511474,35.004437,-114.59799,AZ,Mohave,Fort Mohave
A-3511587,32.60779,-111.35213,AZ,Pinal,Eloy
A-3511463,34.345175,-110.294286,AZ,Navajo,Show Low
A-3511693,33.131557,-112.65102,AZ,Maricopa,Buckeye
A-3511615,35.19103,-113.36043,AZ,Mohave,Kingman
A-3511513,35.523994,-111.54318,AZ,Coconino,Flagstaff
A-3511129,33.66328,-114.02143999999998,AZ,La Paz,Salome
A-3511391,31.5486,-111.04797,AZ,Santa Cruz,Rio Rico
A-3511362,34.12343,-112.95057,AZ,Yavapai,Congress
A-3511281,33.483061,-111.760551,AZ,Maricopa,Mesa
A-3511044,32.3626,-109.62755,AZ,Cochise,San Simon
A-3511448,35.80517899999999,-110.422668,AZ,Navajo,Kykotsmovi Village
A-3511284,33.390269,-110.882083,AZ,Gila,Miami
A-3511663,35.21949,-112.49115,AZ,Yavapai,Ash Fork
A-3511103,34.26534,-111.19519,AZ,Gila,Payson
A-3511695,32.725735,-113.74908,AZ,Yuma,Roll
A-3511687,35.02526,-110.62872,AZ,Navajo,Winslow
A-3511280,31.962740000000004,-110.43902,AZ,Cochise,Benson
A-3511131,32.880272,-112.049281,AZ,Pinal,Maricopa
A-3511458,35.602027,-114.40278899999998,AZ,Mohave,Dolan Springs
A-3511191,33.69827,-112.334256,AZ,Maricopa,Sun City West
A-3511658,34.904788,-111.641809,AZ,Coconino,Sedona
A-3511598,32.18699,-110.96833,AZ,Pima,Tucson
A-3511639,33.6025,-114.51433,AZ,La Paz,Cibola
A-3511396,35.11786,-111.09577,AZ,Coconino,Flagstaff
A-3511556,35.02957,-114.13088,AZ,Mohave,Bullhead City
A-3511720,34.604035,-114.363732,AZ,Mohave,Lake Havasu City
A-3511107,34.662188,-112.437508,AZ,Yavapai,Prescott
A-3511437,34.90674,-110.20592,AZ,Navajo,Holbrook
A-3511364,34.424609999999994,-113.24143,AZ,Yavapai,Congress
A-3511055,32.976597,-111.524,AZ,Pinal,Coolidge
A-3511644,33.99486,-114.21688,AZ,La Paz,Bouse
A-3511100,31.67928,-110.65576,AZ,Santa Cruz,Elgin
A-3511387,35.22157100000001,-111.793429,AZ,Coconino,Flagstaff
