birth,death
0.0,0.368000159588998
0.0,0.23436500221250206
0.0,0.2262124061842519
0.0,0.19527026166425443
0.0,0.11959471275699937
0.0,0.11011144592499864
0.0,0.09860766529999955
0.0,0.07512581014900035
0.0,0.05875722904849916
0.0,0.050958304076500066
0.0,0.04986978512500123
0.0,0.04806490756224975
0.0,0.039193994637248285
0.0,0.014404559649999427
0.0,0.013751595690500048
0.0,0.013662291009999002
0.0,0.012624811335248676
0.0,0.01105121649999976
0.0,0.01079243138000019
0.0,0.01000537478125029
0.0,0.009613216624999043
0.0,0.009444789165249688
0.0,0.008855063766249057
0.0,0.00850000842500015
0.0,0.008382310981249974
0.0,0.007962494850000194
0.0,0.00683344982500049
0.0,0.006137673649999913
0.0,0.005984445625000743
0.0,0.005905690669000331
0.0,0.005875155958500118
0.0,0.005663217125000517
0.0,0.0053536092999994355
0.0,0.0053029011425003506
0.0,0.0050211537999995896
0.0,0.0049592396499999305
0.0,0.00476595024999993
0.0,0.0046156617039992635
0.0,0.0045892483562506685
0.0,0.004557502524999894
0.0,0.0036310041999998875
