ID,Start_Lat,Start_Lng,State,County,City
A-3447739,42.06639000000001,-88.260661,IL,Cook,Elgin
A-3451760,41.50651,-87.53373,IL,Cook,Chicago Heights
A-168790,42.035435,-87.717056,IL,Cook,Skokie
A-168381,41.687798,-87.930862,IL,Cook,Lemont
A-167779,41.765137,-87.649284,IL,Cook,Chicago
A-3451726,42.04284000000001,-87.9888,IL,Cook,Arlington Heights
A-168926,41.565426,-87.744431,IL,Cook,Tinley Park
A-3448336,41.87113,-87.84346,IL,Cook,Maywood
A-167765,42.150791,-87.873451,IL,Cook,Northbrook
A-3452238,41.91509,-87.6275,IL,Cook,Chicago
A-167565,41.999073,-88.133934,IL,Cook,Hanover Park
A-167480,41.701897,-87.787491,IL,Cook,Chicago Ridge
A-3451966,41.64595,-87.57851,IL,Cook,Chicago
A-3447099,42.0102,-87.86480999999998,IL,Cook,Des Plaines
A-3449692,41.874007,-87.731257,IL,Cook,Chicago
A-167866,41.564556,-87.85186800000002,IL,Cook,Tinley Park
A-3449632,42.08501,-88.07791,IL,Cook,Palatine
A-167592,41.783634,-87.907791,IL,Cook,Hinsdale
A-3448533,41.93134000000001,-87.9203,IL,Cook,Franklin Park
A-3445910,41.62624,-87.6772,IL,Cook,Posen
A-168027,41.945679,-87.786293,IL,Cook,Chicago
A-167470,41.794388,-87.770721,IL,Cook,Chicago
A-3454482,41.733312,-87.562661,IL,Cook,Chicago
A-3450452,42.137905,-87.78769399999999,IL,Cook,Northbrook
A-3449082,42.15141,-87.96009000000002,IL,Cook,Buffalo Grove
