ID,Start_Lat,Start_Lng,State,County,City
A-3449805,30.75401,-81.65109,GA,Camden,Kingsland
A-3449120,34.848911,-85.04902299999998,GA,Whitfield,Tunnel Hill
A-146396,31.601265,-84.84721400000002,GA,Clay,Coleman
A-146818,33.47821,-82.297676,GA,Columbia,Harlem
A-3454117,33.26715,-84.09935,GA,Butts,Jackson
A-3452747,30.843502,-83.33030500000002,GA,Lowndes,Valdosta
A-3454133,34.543,-83.36269,GA,Stephens,Toccoa
A-3451801,32.16191,-81.22208,GA,Chatham,Port Wentworth
A-3445874,32.08935,-83.7633,GA,Dooly,Vienna
A-147994,32.877926,-85.15158100000002,GA,Troup,West Point
A-3446440,32.43466,-82.50613,GA,Treutlen,Soperton
A-3452777,33.826036,-85.04455899999998,GA,Haralson,Temple
A-3455397,30.800106,-84.259485,GA,Grady,Cairo
A-3446323,33.090237,-83.18849300000002,GA,Baldwin,Milledgeville
A-147063,34.157654,-84.173172,GA,Forsyth,Cumming
A-3449264,31.918164,-81.939091,GA,Tattnall,Glennville
A-3454085,34.028655,-82.793165,GA,Elbert,Elberton
A-3445785,31.485679,-84.11661099999998,GA,Dougherty,Albany
A-3447895,33.814717,-83.435435,GA,Oconee,Bishop
A-3448459,32.71634,-83.72991999999998,GA,Bibb,Macon
A-146451,31.426773,-83.512741,GA,Tift,Tifton
A-3450073,33.33678,-84.68751800000003,GA,Coweta,Sharpsburg
A-147400,32.455952,-81.788589,GA,Bulloch,Statesboro
