ID,Start_Lat,Start_Lng,State,County,City
A-3451019,36.68768,-83.1014,VA,Lee,Jonesville
A-3447067,37.759879,-75.61762,VA,Accomack,Parksley
A-3448340,36.580641,-79.262394,VA,Pittsylvania,Ringgold
A-230430,39.290592,-78.08500699999998,VA,Frederick,Clear Brook
A-3455152,37.26237,-81.12097,VA,Bland,Rocky Gap
A-3451553,37.39283,-77.50950999999998,VA,Chesterfield,Richmond
A-3451604,38.273384,-79.301202,VA,Augusta,West Augusta
A-3446474,36.78559,-76.40599,VA,Chesapeake,Chesapeake
A-229169,38.765934,-77.053528,VA,Fairfax County,Alexandria
A-3453434,36.67975,-82.03761,VA,Washington,Abingdon
A-3448277,37.33928,-80.00220999999998,VA,Roanoke County,Roanoke
A-3454860,36.598146,-78.155126,VA,Mecklenburg,Bracey
A-3447872,38.258384,-78.00451600000002,VA,Culpeper,Rapidan
A-3451667,37.769804,-76.472004,VA,Lancaster,Lancaster
A-230524,38.863098,-78.72757,VA,Shenandoah,Edinburg
A-3453840,37.380433,-79.247293,VA,Bedford,Forest
A-3452871,36.716824,-80.333523,VA,Patrick,Meadows of Dan
A-3453107,37.967789,-78.616838,VA,Albemarle,North Garden
A-3449658,37.126554,-82.621181,VA,Wise,Pound
A-3452792,38.010349,-77.334484,VA,Caroline,Milford
A-3453592,37.215882,-78.151078,VA,Nottoway,Crewe
A-232713,38.777172,-77.682098,VA,Fauquier,Warrenton
A-3452739,37.2063,-75.966347,VA,Northampton,Cape Charles
A-3447374,36.966151,-76.979015,VA,Sussex,Wakefield
A-3452893,36.565486,-77.568214,VA,Greensville,Skippers
A-3446371,37.517216,-76.970095,VA,New Kent,New Kent
A-3447250,37.822016,-79.74531800000003,VA,Alleghany,Clifton Forge
A-229870,39.270927,-77.548309,VA,Loudoun,Leesburg
A-3446461,36.86271,-81.43703000000002,VA,Smyth,Atkins
A-3449062,37.269167,-76.495064,VA,Gloucester,Hayes
A-3447042,37.08254,-80.65307,VA,Pulaski,Dublin
A-3447470,36.601556,-79.861846,VA,Henry,Ridgeway
A-3445981,37.787799,-77.89592900000002,VA,Louisa,Gum Spring
A-3455487,38.39264,-78.81059,VA,Rockingham,Penn Laird
A-231053,38.850502,-78.28607199999998,VA,Warren,Bentonville
A-3447376,38.450587,-77.403351,VA,Stafford,Stafford
A-3451169,36.566596,-76.74950600000003,VA,Suffolk City,Suffolk
A-3450076,36.89167,-77.80481,VA,Brunswick,Dolphin
A-3451462,38.35917,-77.0153,VA,King George,Dahlgren
A-3448812,37.89714,-76.8715,VA,Essex,Tappahannock
A-3446354,37.88411,-79.28823,VA,Rockbridge,Fairfield
A-3447582,37.015536,-79.828047,VA,Franklin,Rocky Mount
A-3448554,36.84174,-76.04515,VA,Virginia Beach,Virginia Beach
A-3448398,38.235653000000006,-78.368408,VA,Greene,Ruckersville
A-230292,38.966198,-77.36496700000002,VA,Fairfax County,Reston
A-3447886,36.647006,-78.501991,VA,Mecklenburg,Clarksville
A-3447248,36.902672,-79.389942,VA,Pittsylvania,Chatham
A-3445501,36.93844,-81.00115,VA,Wythe,Wytheville
A-3452873,38.187695,-77.619743,VA,Spotsylvania,Spotsylvania
A-3447355,37.09497800000001,-77.358788,VA,Prince George,Petersburg
